__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-04-16,US,United States,sales,Sales,TOTAL,58.62
HiringLabSectoralPosting,2020-04-17,US,United States,sales,Sales,TOTAL,57.48
HiringLabSectoralPosting,2020-04-18,US,United States,sales,Sales,TOTAL,56.62
HiringLabSectoralPosting,2020-04-19,US,United States,sales,Sales,TOTAL,55.8
HiringLabSectoralPosting,2020-04-20,US,United States,sales,Sales,TOTAL,55.05
HiringLabSectoralPosting,2020-04-21,US,United States,sales,Sales,TOTAL,54.31
HiringLabSectoralPosting,2020-04-22,US,United States,sales,Sales,TOTAL,53.67
HiringLabSectoralPosting,2020-04-23,US,United States,sales,Sales,TOTAL,53.16
HiringLabSectoralPosting,2020-04-24,US,United States,sales,Sales,TOTAL,52.78
HiringLabSectoralPosting,2020-04-25,US,United States,sales,Sales,TOTAL,52.44
HiringLabSectoralPosting,2020-04-26,US,United States,sales,Sales,TOTAL,52.06
HiringLabSectoralPosting,2020-04-27,US,United States,sales,Sales,TOTAL,51.73
HiringLabSectoralPosting,2020-04-28,US,United States,sales,Sales,TOTAL,51.34
HiringLabSectoralPosting,2020-04-29,US,United States,sales,Sales,TOTAL,51
HiringLabSectoralPosting,2020-04-30,US,United States,sales,Sales,TOTAL,50.61
HiringLabSectoralPosting,2020-05-01,US,United States,sales,Sales,TOTAL,50.45
HiringLabSectoralPosting,2020-05-02,US,United States,sales,Sales,TOTAL,50.24
HiringLabSectoralPosting,2020-05-03,US,United States,sales,Sales,TOTAL,50.05
HiringLabSectoralPosting,2020-05-04,US,United States,sales,Sales,TOTAL,49.8
HiringLabSectoralPosting,2020-05-05,US,United States,sales,Sales,TOTAL,49.6
HiringLabSectoralPosting,2020-05-06,US,United States,sales,Sales,TOTAL,49.46
HiringLabSectoralPosting,2020-05-07,US,United States,sales,Sales,TOTAL,49.41
HiringLabSectoralPosting,2020-05-08,US,United States,sales,Sales,TOTAL,49.39
HiringLabSectoralPosting,2020-05-09,US,United States,sales,Sales,TOTAL,49.62
HiringLabSectoralPosting,2020-05-10,US,United States,sales,Sales,TOTAL,49.92
HiringLabSectoralPosting,2020-05-11,US,United States,sales,Sales,TOTAL,50.09
HiringLabSectoralPosting,2020-05-12,US,United States,sales,Sales,TOTAL,50.66
HiringLabSectoralPosting,2020-05-13,US,United States,sales,Sales,TOTAL,50.8
HiringLabSectoralPosting,2020-05-14,US,United States,sales,Sales,TOTAL,50.94
HiringLabSectoralPosting,2020-05-15,US,United States,sales,Sales,TOTAL,51.16
HiringLabSectoralPosting,2020-05-16,US,United States,sales,Sales,TOTAL,51.12
HiringLabSectoralPosting,2020-05-17,US,United States,sales,Sales,TOTAL,51.11
HiringLabSectoralPosting,2020-05-18,US,United States,sales,Sales,TOTAL,51.26
HiringLabSectoralPosting,2020-05-19,US,United States,sales,Sales,TOTAL,51.1
HiringLabSectoralPosting,2020-05-20,US,United States,sales,Sales,TOTAL,51.3
HiringLabSectoralPosting,2020-05-21,US,United States,sales,Sales,TOTAL,51.45
HiringLabSectoralPosting,2020-05-22,US,United States,sales,Sales,TOTAL,51.46
HiringLabSectoralPosting,2020-05-23,US,United States,sales,Sales,TOTAL,51.53
